,epoch,test_acc,test_loss,train_acc,train_loss
0,2,0.1224,2.76466760635376,0.1290357142857143,2.435570019483566
1,4,0.1175,2.6889057993888854,0.1440714285714286,2.390022507735661
2,6,0.1135,3.5592387557029723,0.14639285714285713,2.4015423229762485
3,8,0.1135,4.867610812187195,0.15360714285714286,2.506146970817021
4,10,0.1135,6.186281013488769,0.17328571428571427,2.552536189556122
5,12,0.1135,7.230985379219055,0.19835714285714284,2.4903140595981053
6,14,0.1135,8.755974102020264,0.22060714285714284,2.477203397239958
7,16,0.1136,8.652561664581299,0.2353214285714286,2.4559493073395324
8,18,0.1135,9.599482583999634,0.23550000000000007,2.4687157405274256
9,20,0.1135,9.864440202713013,0.2462857142857143,2.424297477943557
10,22,0.1135,10.72392134666443,0.2631071428571429,2.4132316495691026
11,24,0.1135,10.741547012329102,0.2768571428571428,2.4030292510986326
12,26,0.1144,10.622240018844604,0.2751071428571428,2.4077199505908147
13,28,0.1136,11.063317060470581,0.29021428571428576,2.409275817445347
14,30,0.1144,11.232208728790283,0.2991785714285714,2.363998238529478
15,32,0.1146,11.346396780014038,0.29796428571428585,2.445049819775991
16,34,0.1142,11.959087371826172,0.3088214285714286,2.441190192954881
17,36,0.1142,12.116081190109252,0.3082500000000001,2.4702917937721525
18,38,0.1135,12.63831706047058,0.30250000000000005,2.4909614677940097
19,40,0.114,12.666389465332031,0.31685714285714284,2.4669912568160464
20,42,0.1137,12.658541107177735,0.32050000000000006,2.4765576984201156
21,44,0.1136,12.853136205673218,0.3258214285714286,2.4757210241896774
22,46,0.1185,11.470746803283692,0.27657142857142863,2.522610498751913
23,48,0.114,12.811442852020264,0.30978571428571433,2.543765909331186
24,50,0.1136,13.17694787979126,0.33442857142857135,2.498308145574161
