backdoor, Both, backdoor, [0, 1] | [((2, 0), 2), ((2, 1), 10), ((2, 2), 18), ((2, 3), 2)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 2), ((2, 1), 10), ((2, 2), 18), ((2, 3), 2)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 30), ((1, 0), 2)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 28), ((1, 0), 4)]
lable, Both, lable, [0, 1] | [((2, 0), 2), ((2, 1), 13), ((0, 1), 1), ((2, 2), 14), ((1, 2), 1), ((0, 5), 1)]
lable, Both, lable, [0, 1] | [((2, 0), 4), ((2, 1), 18), ((1, 1), 1), ((2, 2), 8), ((2, 3), 1)]
lable, PCA, lable, [0, 1] | [((2, 0), 28), ((1, 0), 3), ((0, 1), 1)]
lable, PCA, lable, [0, 1] | [((2, 0), 22), ((1, 0), 7), ((2, 1), 1), ((1, 1), 2)]
grad, Both, grad, [0, 1] | [((2, 0), 1), ((2, 1), 16), ((2, 2), 14), ((2, 3), 1)]
grad, Both, grad, [0, 1] | [((2, 0), 1), ((2, 1), 17), ((2, 2), 13), ((2, 3), 1)]
grad, PCA, grad, [0, 1] | [((2, 0), 26), ((1, 0), 2), ((1, 1), 1), ((0, 1), 3)]
grad, PCA, grad, [0, 1] | [((2, 0), 26), ((1, 0), 2), ((2, 1), 3), ((0, 1), 1)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 1), ((2, 1), 15), ((2, 2), 14), ((2, 3), 2)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 1), ((2, 1), 15), ((2, 2), 15), ((2, 3), 1)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 31), ((1, 0), 1)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 29), ((1, 0), 1), ((0, 1), 2)]
lable, Both, lable, [0, 1] | [((2, 0), 5), ((2, 1), 14), ((2, 2), 11), ((0, 2), 1), ((2, 4), 1)]
lable, Both, lable, [0, 1] | [((2, 0), 2), ((2, 1), 18), ((1, 1), 1), ((2, 2), 7), ((1, 2), 1), ((2, 3), 3)]
lable, PCA, lable, [0, 1] | [((2, 0), 25), ((1, 0), 2), ((2, 1), 3), ((0, 1), 2)]
lable, PCA, lable, [0, 1] | [((2, 0), 22), ((1, 0), 5), ((1, 1), 2), ((0, 1), 3)]
grad, Both, grad, [0, 1] | [((2, 0), 1), ((2, 1), 16), ((2, 2), 13), ((1, 2), 1), ((0, 2), 1)]
grad, Both, grad, [0, 1] | [((2, 0), 2), ((2, 1), 18), ((2, 2), 11), ((1, 2), 1)]
grad, PCA, grad, [0, 1] | [((2, 0), 25), ((2, 1), 3), ((0, 1), 4)]
grad, PCA, grad, [0, 1] | [((2, 0), 22), ((1, 0), 4), ((2, 1), 2), ((0, 1), 4)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 1), ((2, 1), 15), ((2, 2), 15), ((2, 3), 1)]
backdoor, Both, backdoor, [0, 1] | [((2, 1), 16), ((2, 2), 16)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 31), ((1, 0), 1)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 32)]
lable, Both, lable, [0, 1] | [((2, 0), 4), ((2, 1), 14), ((2, 2), 13), ((2, 3), 1)]
lable, Both, lable, [0, 1] | [((2, 0), 4), ((2, 1), 19), ((2, 2), 9)]
lable, PCA, lable, [0, 1] | [((2, 0), 26), ((1, 0), 6)]
lable, PCA, lable, [0, 1] | [((2, 0), 29), ((1, 0), 2), ((1, 1), 1)]
grad, Both, grad, [0, 1] | [((2, 1), 10), ((2, 2), 20), ((2, 3), 2)]
grad, Both, grad, [0, 1] | [((2, 0), 2), ((2, 1), 21), ((2, 2), 8), ((2, 3), 1)]
grad, PCA, grad, [0, 1] | [((2, 0), 26), ((1, 0), 2), ((2, 1), 1), ((1, 1), 2), ((0, 1), 1)]
grad, PCA, grad, [0, 1] | [((2, 0), 26), ((1, 0), 2), ((2, 1), 2), ((1, 1), 1), ((0, 1), 1)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 2), ((2, 1), 14), ((2, 2), 15), ((2, 3), 1)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 2), ((2, 1), 13), ((2, 2), 17)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 31), ((1, 0), 1)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 30), ((1, 0), 2)]
lable, Both, lable, [0, 1] | [((2, 0), 3), ((2, 1), 13), ((2, 2), 13), ((2, 3), 3)]
lable, Both, lable, [0, 1] | [((2, 0), 1), ((2, 1), 15), ((2, 2), 12), ((2, 3), 3), ((2, 4), 1)]
lable, PCA, lable, [0, 1] | [((2, 0), 26), ((1, 0), 4), ((0, 1), 2)]
lable, PCA, lable, [0, 1] | [((2, 0), 25), ((1, 0), 6), ((2, 1), 1)]
grad, Both, grad, [0, 1] | [((2, 0), 2), ((2, 1), 13), ((0, 1), 1), ((2, 2), 14), ((2, 3), 2)]
grad, Both, grad, [0, 1] | [((2, 1), 18), ((2, 2), 14)]
grad, PCA, grad, [0, 1] | [((2, 0), 25), ((1, 0), 4), ((1, 1), 2), ((0, 1), 1)]
grad, PCA, grad, [0, 1] | [((2, 0), 27), ((1, 0), 3), ((2, 1), 1), ((0, 1), 1)]
backdoor, Both, backdoor, [0, 1] | [((2, 1), 16), ((2, 2), 15), ((2, 3), 1)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 3), ((2, 1), 19), ((2, 2), 9), ((2, 3), 1)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 30), ((1, 0), 2)]
backdoor, PCA, backdoor, [0, 1] | [((2, 0), 31), ((1, 0), 1)]
lable, Both, lable, [0, 1] | [((2, 0), 4), ((2, 1), 17), ((1, 1), 1), ((2, 2), 10)]
lable, Both, lable, [0, 1] | [((2, 0), 2), ((2, 1), 14), ((1, 1), 1), ((2, 2), 11), ((1, 2), 2), ((0, 2), 1), ((2, 3), 1)]
lable, PCA, lable, [0, 1] | [((2, 0), 25), ((1, 0), 3), ((2, 1), 3), ((0, 1), 1)]
lable, PCA, lable, [0, 1] | [((2, 0), 22), ((1, 0), 8), ((2, 1), 1), ((0, 1), 1)]
grad, Both, grad, [0, 1] | [((2, 0), 2), ((2, 1), 14), ((2, 2), 14), ((2, 3), 2)]
grad, Both, grad, [0, 1] | [((2, 0), 1), ((2, 1), 17), ((2, 2), 13), ((2, 3), 1)]
grad, PCA, grad, [0, 1] | [((2, 0), 25), ((1, 0), 4), ((2, 1), 1), ((0, 1), 2)]
grad, PCA, grad, [0, 1] | [((2, 0), 25), ((1, 0), 1), ((2, 1), 2), ((0, 1), 4)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 2), ((2, 1), 13), ((2, 2), 16), ((2, 3), 1)]
backdoor, Both, backdoor, [0, 1] | [((2, 0), 1), ((2, 1), 11), ((2, 2), 18), ((2, 3), 2)]
