backdoor, Both, [0, 1] | [((2, 0), 1)]
backdoor, Both, [0, 1] | [((2, 1), 1), ((2, 2), 1)]
backdoor, PCA, [0, 1] | [((2, 0), 1)]
backdoor, PCA, [0, 1] | [((2, 0), 1)]
backdoor, PCA, [0, 1] | [((2, 0), 1)]
backdoor, PCA, [0, 1] | [((2, 0), 1)]
backdoor, Both, [0, 1] | [((2, 2), 1)]
backdoor, Both, [0, 1] | [((2, 2), 1)]
backdoor, Both, [0, 1] | [((2, 0), 1), ((2, 1), 12), ((2, 2), 18), ((2, 3), 1)]
backdoor, PCA, [0, 1] | [((2, 0), 31), ((0, 1), 1)]
lable, Both, [0, 1] | [((2, 0), 2), ((2, 1), 19), ((2, 2), 11)]
lable, PCA, [0, 1] | [((2, 0), 23), ((1, 0), 2), ((2, 1), 3), ((1, 1), 1), ((0, 1), 3)]
grad, Both, [0, 1] | [((2, 1), 19), ((1, 1), 1), ((2, 2), 12)]
backdoor, Both, [0, 1] | [((2, 1), 10), ((2, 2), 21), ((2, 3), 1)]
backdoor, Both, [0, 1] | [((2, 0), 1), ((2, 1), 18), ((2, 2), 12), ((2, 3), 1)]
backdoor, Both, [0, 1] | [((2, 2), 1)]
backdoor, Both, [0, 1] | [((2, 0), 3), ((2, 1), 16), ((2, 2), 10), ((2, 3), 3)]
grad, Both, [0, 1] | [((2, 1), 19), ((2, 2), 13)]
grad, Both, [] | [((0, 2), 4), ((0, 3), 14), ((0, 4), 8), ((0, 5), 5), ((0, 6), 1)]
grad, Both, [0, 1] | [((2, 0), 8), ((2, 1), 12), ((2, 2), 11), ((2, 3), 1)]
grad, Both, [] | [((0, 2), 5), ((0, 3), 14), ((0, 4), 10), ((0, 5), 3)]
grad, Both, [0, 1] | [((2, 0), 7), ((2, 1), 18), ((2, 2), 7)]
grad, Both, [0, 1, 2] | [((3, 0), 6), ((2, 0), 2), ((3, 1), 17), ((3, 2), 6), ((3, 3), 1)]
grad, Both, [] | [((0, 2), 6), ((0, 3), 13), ((0, 4), 8), ((0, 5), 2), ((0, 6), 3)]
lable, Both, [0, 1] | [((2, 1), 2), ((2, 2), 2), ((2, 3), 1)]
lable, Both, [0, 1] | [((2, 0), 1), ((2, 1), 11), ((2, 2), 17), ((2, 3), 3)]
lable, Both, [0, 1, 2] | [((3, 0), 1), ((3, 1), 13), ((3, 2), 17), ((3, 3), 1)]
lable, Both, [0, 1, 2] | [((3, 1), 10), ((3, 2), 18), ((3, 3), 4)]
lable, Both, [] | [((0, 2), 6), ((0, 3), 18), ((0, 4), 5), ((0, 5), 3)]
grad, PCA, [0, 1] | [((2, 0), 25), ((1, 0), 2), ((2, 1), 1), ((1, 1), 1), ((0, 1), 3)]
grad, PCA, [0, 1] | [((2, 0), 13), ((1, 0), 9), ((1, 1), 3), ((0, 1), 7)]
grad, PCA, [0, 1] | [((2, 0), 21), ((1, 0), 6), ((2, 1), 1), ((1, 1), 1), ((0, 1), 3)]
grad, PCA, [0, 1] | [((2, 0), 26), ((1, 0), 3), ((1, 1), 1), ((0, 1), 2)]
backdoor, PCA, [0, 1] | [((2, 0), 32)]
backdoor, PCA, [0, 1] | [((2, 0), 29), ((1, 0), 3)]
backdoor, Both, [0, 1] | [((2, 1), 15), ((2, 2), 15), ((2, 3), 2)]
grad, Both, [0, 1] | [((2, 0), 2), ((2, 1), 14), ((2, 2), 14), ((2, 3), 2)]
grad, Both, [0, 1] | [((2, 0), 3), ((2, 1), 14), ((2, 2), 14), ((2, 3), 1)]
grad, Both, [0, 1] | [((2, 0), 1), ((2, 1), 12), ((1, 1), 3), ((2, 2), 5), ((1, 2), 5), ((2, 3), 1), ((0, 3), 4), ((0, 5), 1)]
grad, Both, [0, 1] | [((2, 0), 2), ((2, 1), 15), ((2, 2), 13), ((2, 3), 2)]
lable, PCA, [0, 1, 2] | [((3, 0), 5), ((2, 0), 11), ((1, 0), 7), ((2, 1), 2), ((1, 1), 2), ((0, 1), 4), ((0, 2), 1)]
lable, PCA, [0, 1, 2] | [((3, 0), 9), ((2, 0), 15), ((1, 0), 5), ((0, 1), 3)]
lable, PCA, [0, 1, 2] | [((3, 0), 13), ((2, 0), 12), ((1, 0), 7)]
lable, Both, [0, 1, 2] | [((3, 0), 3), ((3, 1), 13), ((3, 2), 16)]
lable, Both, [0, 1, 2] | [((3, 0), 1), ((3, 1), 15), ((2, 1), 1), ((3, 2), 14), ((2, 2), 1)]
lable, Both, [0, 1, 2] | [((3, 0), 2), ((2, 0), 1), ((3, 1), 9), ((2, 1), 1), ((3, 2), 14), ((1, 2), 4), ((0, 3), 1)]
backdoor, PCA, [0, 1, 2] | [((3, 0), 4), ((2, 0), 17), ((1, 0), 8), ((1, 1), 2), ((0, 1), 1)]
backdoor, PCA, [0, 1, 2] | [((3, 0), 4), ((2, 0), 19), ((1, 0), 8), ((2, 1), 1)]
backdoor, PCA, [0, 1, 2] | [((3, 0), 4), ((2, 0), 15), ((1, 0), 11), ((0, 1), 2)]
backdoor, Both, [0, 1, 2] | [((3, 0), 3), ((3, 1), 10), ((3, 2), 16), ((2, 2), 1), ((3, 3), 2)]
backdoor, Both, [0, 1, 2] | [((3, 0), 3), ((3, 1), 15), ((1, 1), 2), ((3, 2), 5), ((2, 2), 1), ((1, 2), 2), ((3, 3), 3), ((1, 5), 1)]
backdoor, Both, [0, 1, 2] | [((3, 0), 3), ((3, 1), 11), ((2, 1), 1), ((1, 1), 1), ((0, 1), 1), ((3, 2), 11), ((2, 2), 1), ((3, 3), 2), ((3, 4), 1)]
grad, Forest, [0, 1, 2] | [((1, 0), 11), ((0, 0), 4), ((1, 1), 1), ((0, 1), 14), ((0, 2), 2)]
grad, Forest, [0, 1, 2] | [((2, 0), 2), ((1, 0), 13), ((0, 0), 13), ((1, 1), 2), ((0, 1), 2)]
lable, Forest, [0, 1, 2] | [((3, 0), 9), ((2, 0), 6), ((1, 0), 7), ((0, 0), 4), ((2, 1), 2), ((1, 1), 1), ((0, 1), 3)]
lable, Forest, [0, 1, 2] | [((3, 0), 13), ((2, 0), 3), ((1, 0), 6), ((0, 0), 8), ((3, 1), 1), ((1, 1), 1)]
backdoor, Forest, [0, 1, 2] | [((3, 0), 3), ((2, 0), 7), ((1, 0), 6), ((0, 0), 15), ((1, 1), 1)]
grad, Forest, [0, 1] | [((1, 0), 5), ((0, 0), 9), ((2, 1), 1), ((1, 1), 3), ((0, 1), 12), ((0, 2), 2)]
backdoor, Forest, [0, 1, 2] | [((3, 0), 5), ((2, 0), 5), ((1, 0), 10), ((0, 0), 1), ((2, 1), 1), ((1, 1), 6), ((0, 1), 4)]
grad, Forest, [0, 1] | [((2, 0), 4), ((1, 0), 12), ((0, 0), 13), ((2, 1), 1), ((1, 1), 1), ((0, 2), 1)]
grad, Both, [0, 1] | [((2, 0), 1), ((2, 1), 15), ((2, 2), 15), ((2, 3), 1)]
backdoor, Both, [0, 1] | [((2, 0), 3), ((2, 1), 12), ((2, 2), 15), ((2, 3), 2)]
backdoor, Both, [0, 1] | [((2, 0), 2), ((2, 1), 12), ((2, 2), 16), ((2, 3), 2)]
lable, Both, [0, 1] | [((2, 0), 1), ((2, 1), 15), ((2, 2), 16)]
lable, Both, [0, 1] | [((2, 0), 1), ((2, 1), 11), ((2, 2), 18), ((2, 3), 2)]
backdoor, Both, [0, 1, 2] | [((3, 1), 10), ((3, 2), 20), ((3, 3), 2)]
grad, Both, [0, 1] | [((2, 0), 1), ((2, 1), 14), ((2, 2), 13), ((1, 2), 1), ((0, 2), 1), ((2, 3), 2)]
lable, Both, [0, 1, 2] | [((3, 0), 1), ((3, 1), 13), ((3, 2), 16), ((3, 3), 2)]
